,0_x,0_y,1,2,3,4
0,DecisionTreeClassifier 1,"(3, 2, 0, 14, 3, 0, 17)","(0, 0, 1, 1, 1, 15, 17)","(0, 9, 2, 3, 9, 5, 17)","(0, 0, 0, 15, 0, 2, 17)","(1, 2, 2, 8, 7, 2, 17)"
1,DecisionTreeClassifier 2,"(0, 2, 0, 14, 3, 0, 17)","(0, 0, 1, 1, 1, 15, 17)","(0, 9, 1, 3, 9, 5, 17)","(2, 0, 0, 15, 0, 2, 17)","(1, 7, 0, 8, 7, 2, 17)"
2,DecisionTreeClassifier 3,"(4, 3, 0, 14, 3, 0, 17)","(1, 1, 0, 1, 1, 15, 17)","(1, 2, 4, 3, 9, 5, 17)","(6, 0, 0, 15, 0, 2, 17)","(1, 7, 0, 8, 7, 2, 17)"
3,DecisionTreeClassifier 4,"(0, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(0, 0, 5, 3, 9, 5, 17)","(7, 0, 1, 15, 0, 2, 17)","(8, 0, 0, 8, 7, 2, 17)"
4,DecisionTreeClassifier 5,"(0, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(0, 0, 5, 3, 9, 5, 17)","(7, 0, 2, 15, 0, 2, 17)","(8, 0, 0, 8, 7, 2, 17)"
5,RandomForestClassifier 4,"(0, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(0, 9, 1, 3, 9, 5, 17)","(0, 0, 0, 15, 0, 2, 17)","(1, 7, 0, 8, 7, 2, 17)"
6,RandomForestClassifier 5,"(0, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(0, 5, 2, 3, 9, 5, 17)","(0, 0, 0, 15, 0, 2, 17)","(4, 7, 0, 8, 7, 2, 17)"
7,GradientBoostingClassifier 1,"(12, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(3, 2, 4, 3, 9, 5, 17)","(15, 0, 1, 15, 0, 2, 17)","(2, 7, 0, 8, 7, 2, 17)"
8,GradientBoostingClassifier 2,"(10, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(1, 3, 4, 3, 9, 5, 17)","(5, 0, 0, 15, 0, 2, 17)","(8, 0, 0, 8, 7, 2, 17)"
9,GradientBoostingClassifier 3,"(11, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(3, 3, 3, 3, 9, 5, 17)","(10, 0, 0, 15, 0, 2, 17)","(7, 7, 0, 8, 7, 2, 17)"
10,XGBClassifier 1,"(13, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(3, 2, 1, 3, 9, 5, 17)","(13, 0, 0, 15, 0, 2, 17)","(8, 1, 0, 8, 7, 2, 17)"
11,XGBClassifier 2,"(13, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(3, 3, 1, 3, 9, 5, 17)","(11, 0, 0, 15, 0, 2, 17)","(5, 5, 0, 8, 7, 2, 17)"
12,XGBClassifier 3,"(12, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(2, 4, 1, 3, 9, 5, 17)","(11, 0, 0, 15, 0, 2, 17)","(8, 2, 0, 8, 7, 2, 17)"
13,XGBClassifier 4,"(10, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(1, 4, 1, 3, 9, 5, 17)","(15, 0, 0, 15, 0, 2, 17)","(8, 4, 0, 8, 7, 2, 17)"
14,XGBClassifier 5,"(12, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(2, 3, 2, 3, 9, 5, 17)","(8, 0, 0, 15, 0, 2, 17)","(8, 1, 0, 8, 7, 2, 17)"
15,XGBClassifier 6,"(12, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(3, 2, 2, 3, 9, 5, 17)","(10, 0, 1, 15, 0, 2, 17)","(6, 6, 0, 8, 7, 2, 17)"
16,XGBRFClassifier 1,"(6, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(1, 4, 3, 3, 9, 5, 17)","(15, 0, 0, 15, 0, 2, 17)","(4, 7, 0, 8, 7, 2, 17)"
17,XGBRFClassifier 2,"(6, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(1, 4, 3, 3, 9, 5, 17)","(14, 0, 0, 15, 0, 2, 17)","(4, 7, 0, 8, 7, 2, 17)"
18,XGBRFClassifier 3,"(6, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(0, 0, 5, 3, 9, 5, 17)","(7, 0, 2, 15, 0, 2, 17)","(8, 0, 0, 8, 7, 2, 17)"
19,XGBRFClassifier 4,"(6, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(1, 2, 3, 3, 9, 5, 17)","(15, 0, 0, 15, 0, 2, 17)","(8, 0, 0, 8, 7, 2, 17)"
20,XGBRFClassifier 5,"(6, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(1, 3, 3, 3, 9, 5, 17)","(15, 0, 0, 15, 0, 2, 17)","(8, 0, 0, 8, 7, 2, 17)"
21,XGBRFClassifier 6,"(6, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(1, 4, 3, 3, 9, 5, 17)","(15, 0, 0, 15, 0, 2, 17)","(4, 7, 0, 8, 7, 2, 17)"
22,GradientBoostingClassifier 1S,"(13, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(3, 0, 5, 3, 9, 5, 17)","(15, 0, 1, 15, 0, 2, 17)","(8, 0, 0, 8, 7, 2, 17)"
23,GradientBoostingClassifier 2S,"(14, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(1, 2, 5, 3, 9, 5, 17)","(14, 0, 0, 15, 0, 2, 17)","(8, 0, 0, 8, 7, 2, 17)"
24,GradientBoostingClassifier 3S,"(14, 3, 0, 14, 3, 0, 17)","(1, 0, 0, 1, 1, 15, 17)","(3, 1, 5, 3, 9, 5, 17)","(11, 0, 1, 15, 0, 2, 17)","(8, 0, 0, 8, 7, 2, 17)"
